name,r_mode,x_catch,x_beta,x_q,w_catch,w_beta,w_q,p_beta,packet_fail_slices,edge_fail_slices,release_fail_slices,max_packet_norm,max_edge_gtt,max_release_packet_norm,max_packet_rho,max_edge_rho,max_release_rho,max_packet_j,max_edge_j,max_release_j,max_packet_R3,max_packet_K,clear,raw_source_cost,resolution,relative_source_cost,selection_score
later_beta_smooth_p2,always_open,0.15,0.85,1.4,0.35,0.38,0.42,2.0,0,0,1,-0.3880256934399975,-2.0521361133950125,7.1285688666379645,0.314745330914791,0.21512842793933537,0.21512842793933537,0.5171933391064916,2.4389863163492294,2.4389863163492294,15.820823852400128,177.1382287107189,False,2.7537316472640203,sweep,1.2478084628027473,1001.2478084628027
later_beta_smooth_p3,always_open,0.15,0.85,1.4,0.35,0.38,0.42,3.0,0,0,1,-0.3880256934399676,-2.0521361133950125,7.219815708994258,0.3147453309147741,0.19872414108343192,0.19872414108343192,0.5051162687853086,2.3560355612577113,2.3560355612577113,15.820823852400128,170.8842162274746,False,2.6707808921724854,sweep,1.2102206846683257,1001.2102206846683
later_beta_smooth_p4,always_open,0.15,0.85,1.4,0.35,0.38,0.42,4.0,0,0,1,-0.3880256934399676,-2.0521361133950125,7.2300929262225395,0.31474533091475715,0.19695168867881255,0.19695168867881255,0.48535940512787057,2.2610121549251874,2.2610121549251874,15.820823852400128,163.96670003567425,False,2.5757574858399446,sweep,1.167162382054164,1001.1671623820541
later_beta_very_smooth_p2,always_open,0.15,0.85,1.4,0.45,0.5,0.55,2.0,1,0,1,0.1923715191223423,-2.0521361133950125,13.600314883638113,0.31474533761345913,0.21937567932778984,0.21937567932778984,0.5185250026272511,2.534701853072956,2.5347018530729564,15.820824274084693,173.63418017671756,False,2.8494471906864156,sweep,1.2911803960203116,1001.2911803960203
later_beta_very_smooth_p3,always_open,0.15,0.85,1.4,0.45,0.5,0.55,3.0,1,0,1,0.19237151912239803,-2.0521361133950125,13.733572718391883,0.31474533761344303,0.19918447908642797,0.19918447908642797,0.5064160761623812,2.4484956576717916,2.4484956576717916,15.820824274084693,167.5041021858993,False,2.7632409952852344,sweep,1.252117468347422,1001.2521174683475
later_beta_very_smooth_p4,always_open,0.15,0.85,1.4,0.45,0.5,0.55,4.0,1,0,1,0.19237151912239803,-2.0521361133950125,13.74857946397075,0.31474533761342693,0.1970028573919014,0.1970028573919014,0.4866089150654294,2.349743724062376,2.349743724062376,15.820824274084693,160.72364701849833,False,2.664489061675803,sweep,1.2073696445722142,1001.2073696445722
latewide_medium_p2,always_open,0.15,0.85,1.6,0.25,0.28,0.3,2.0,0,0,1,-0.6732983831793791,-3.11999997429588,0.8709200097108907,0.31474533168567065,0.2065274039477748,0.2065274039477748,0.5280934591908408,1.839508174394196,1.839508174394196,15.820823728863253,184.81158328177207,False,2.1542535060798667,sweep,0.9761647466918987,1000.9761647466919
latewide_medium_p3,always_open,0.15,0.85,1.6,0.25,0.28,0.3,3.0,0,0,1,-0.6732983831793622,-3.11999997429588,0.9144550291678284,0.31474533168565233,0.1977942854729125,0.1977942854729125,0.5157622985775497,1.776945870327231,1.776945870327231,15.820823728863253,178.28646006557062,False,2.0916912020128833,sweep,0.9478156617166857,1000.9478156617167
latewide_medium_p4,always_open,0.15,0.85,1.6,0.25,0.28,0.3,4.0,0,0,1,-0.6732983831793622,-3.11999997429588,0.9193590670766039,0.31474533168563407,0.19685068851752802,0.19685068851752802,0.49558854698297633,1.7052780198025355,1.7052780198025355,15.820823728863253,171.06908978619714,False,2.0200233514881694,sweep,0.9153405472717211,1000.9153405472717
latewide_smooth_p2,always_open,0.15,0.85,1.6,0.35,0.38,0.42,2.0,0,0,1,-0.3880257360057803,-2.8220976358882326,7.164379588337434,0.3147453290664224,0.21587491955611002,0.21587491955611002,0.6187495973759735,2.54126180158194,2.5412618015819404,15.820823774510494,214.94064893104166,False,2.8560071306483628,sweep,1.2941529255360793,1001.2941529255361
latewide_smooth_p3,always_open,0.15,0.85,1.6,0.35,0.38,0.42,3.0,0,0,1,-0.3880257360057504,-2.8220976358882326,7.256219816841771,0.31474532906640557,0.19880427989223312,0.19880427989223312,0.6043014155648231,2.4548326139110985,2.4548326139110985,15.820823774510494,207.35182510773572,False,2.769577942977504,sweep,1.25498895256289,1001.2549889525629
latewide_smooth_p4,always_open,0.15,0.85,1.6,0.35,0.38,0.42,4.0,0,0,1,-0.3880257360057504,-2.8220976358882326,7.2665638677071005,0.31474532906638875,0.19695982946055535,0.19695982946055535,0.5806646568688129,2.355824317856667,2.355824317856668,15.820823774510494,198.95789938589107,False,2.6705696469230564,sweep,1.2101249623381465,1001.2101249623381
latewide_very_smooth_p2,always_open,0.15,0.85,1.6,0.45,0.5,0.55,2.0,1,0,1,0.1923715018306853,-2.6362272989025746,13.789041680863821,0.31474533061581267,0.22164900659500486,0.22164900659500486,0.6913920591141335,2.797880061752683,2.797880061752683,15.820823986191378,236.83776287747534,False,3.112625392368496,sweep,1.4104352942273999,1001.4104352942275
latewide_very_smooth_p3,always_open,0.15,0.85,1.6,0.45,0.5,0.55,3.0,1,0,1,0.19237150183074103,-2.6362272989025746,13.924393035077792,0.314745330615797,0.19942883222133362,0.19942883222133362,0.6752471524543056,2.702723124974476,2.702723124974476,15.820823986191378,228.47595697315896,False,3.017468455590273,sweep,1.3673164844754675,1001.3673164844755
latewide_very_smooth_p4,always_open,0.15,0.85,1.6,0.45,0.5,0.55,4.0,1,0,1,0.19237150183074103,-2.6362272989025746,13.939635541007721,0.3147453306157813,0.19702798405175181,0.19702798405175181,0.6488357069568493,2.593717211609834,2.593717211609834,15.820823986191378,219.22702651680322,False,2.908462542225615,sweep,1.3179222374626531,1001.3179222374627
longgap_medium_p2,always_open,0.05,0.7,1.45,0.25,0.28,0.3,2.0,0,0,0,-0.7166862584631956,-2.310808827043546,-1.9377239663745884,0.31474530761199687,0.20034629408591442,0.20034629408591442,0.28406860511580057,1.1140817110896657,1.1140817110896657,15.82082373382677,99.0906769673726,True,1.4288270187016625,sweep,0.6474495971996991,0.6474495971996991
longgap_medium_p3,always_open,0.05,0.7,1.45,0.25,0.28,0.3,3.0,0,0,0,-0.7166862584631867,-2.310808827043546,-1.9200353447044782,0.31474530761198855,0.1971266636725242,0.1971266636725242,0.27743551253843146,1.0761914151191678,1.076191415119168,15.82082373382677,95.59212505537108,True,1.3909367227311566,sweep,0.6302802292196807,0.6302802292196807
longgap_medium_p4,always_open,0.05,0.7,1.45,0.25,0.28,0.3,4.0,0,0,0,-0.7166862584631867,-2.310808827043546,-1.9180432153127316,0.3147453076119803,0.1967787886854979,0.1967787886854979,0.2665838721660225,1.0327864372089077,1.0327864372089077,15.82082373382677,91.72241205375474,True,1.3475317448208881,sweep,0.610611973303019,0.610611973303019
longgap_smooth_p2,always_open,0.05,0.7,1.45,0.35,0.38,0.42,2.0,0,0,1,-0.5624390985338139,-2.2345957592554626,1.4489822788302993,0.3147453120208274,0.2040491727992086,0.2040491727992086,0.3179953415161782,1.5490982736770067,1.5490982736770067,15.820823825443085,109.43610888562289,False,1.8638435856978341,sweep,0.8445702404898829,1000.8445702404899
longgap_smooth_p3,always_open,0.05,0.7,1.45,0.35,0.38,0.42,3.0,0,0,1,-0.5624390985337993,-2.2345957592554626,1.4893249901049197,0.31474531202081807,0.1975271931455456,0.1975271931455456,0.3105699180464053,1.4964129305675629,1.496412930567563,15.820823825443085,105.57238400620511,False,1.8111582425883812,sweep,0.820696738849678,1000.8206967388497
longgap_smooth_p4,always_open,0.05,0.7,1.45,0.35,0.38,0.42,4.0,0,0,1,-0.5624390985337993,-2.2345957592554626,1.4938676997194484,0.31474531202080874,0.19682250549497482,0.19682250549497482,0.2984224902397359,1.4360597197386373,1.4360597197386378,15.820823825443085,101.29874968039869,False,1.7508050317594466,sweep,0.7933486683488771,1000.7933486683489
longgap_very_smooth_p2,always_open,0.05,0.7,1.45,0.45,0.5,0.55,2.0,0,0,1,-0.21106790409680976,-2.1903353424916143,6.043938537986821,0.31474532001129024,0.20708584479723413,0.20708584479723413,0.34483157886589344,1.7416821182055409,1.7416821182055409,15.82082418037129,116.29056862026826,False,2.056427438216831,sweep,0.9318364638385229,1000.9318364638385
longgap_very_smooth_p3,always_open,0.05,0.7,1.45,0.45,0.5,0.55,3.0,0,0,1,-0.21106790409678233,-2.1903353424916143,6.111264505998107,0.3147453200112805,0.19785654847821363,0.19785654847821363,0.3367791428378005,1.6824469046097317,1.6824469046097317,15.82082418037129,112.18498528940829,False,1.997192224621012,sweep,0.9049949955007388,1000.9049949955007
longgap_very_smooth_p4,always_open,0.05,0.7,1.45,0.45,0.5,0.55,4.0,0,0,1,-0.21106790409678233,-2.1903353424916143,6.1188445066140895,0.3147453200112709,0.196859340164589,0.196859340164589,0.3236069520183363,1.6145909582614413,1.6145909582614415,15.82082418037129,107.64382050855201,False,1.9293362782727124,sweep,0.8742471830953351,1000.8742471830953
