case,t,l,N,B,R,rho,Tkk_min,flux,theta_plus,theta_minus,K_l,K_ang,tidal_ang
adiabatic_B_ramp_up,-3.65,1.6000000000000005,1.0,1.0056213187700638,1.8867962264113212,-0.0034744733564469627,-0.0072297361462291525,0.0002630502163998106,0.8938482522306618,-0.8938482522306618,-0.00739630356991374,-0.0,-1.5095054228305978e-12
adiabatic_B_ramp_up,-3.6,0.0,1.0,1.0163251423063198,1.0,-0.037245073517436326,-0.07703380929029707,-0.0,2.842170943040401e-14,2.842170943040401e-14,-0.021242547436311914,-1.4210854715202004e-14,1.4210854715197892e-12
adiabatic_B_ramp_up,-3.6,0.25,1.0,1.0163154146625908,1.0307764064044151,-0.03292820363787261,-0.06902616819428484,0.00039111579282811765,0.463013142487155,-0.4630131424870999,-0.021230092865547338,-1.378655412260815e-14,1.3786554122604162e-12
adiabatic_B_ramp_up,-3.6,1.6000000000000005,1.0,1.006005684228693,1.8867962264113212,-0.003496843503158838,-0.007293425855795161,0.00028067408940662356,0.89350673885875,-0.8935067388586897,-0.007894858484976926,-1.5063475871192507e-14,1.5031921639805473e-12
adiabatic_B_ramp_up,-3.55,0.0,1.0,1.01744076874252,1.0,-0.03707623059404452,-0.07686496636690526,-0.0,-2.842170943040401e-14,-2.842170943040401e-14,-0.022656585017094326,1.4210854715202004e-14,1.4210854715197892e-12
adiabatic_B_ramp_up,-3.55,0.25,1.0,1.0174303763317525,1.0307764064044151,-0.03277422896727498,-0.06892802129565367,0.00041669404907888544,0.4625057447150258,-0.46250574471508094,-0.022643315948742623,1.378655412260815e-14,1.3786554122604162e-12
adiabatic_B_ramp_up,-3.55,1.6000000000000005,1.0,1.0064161002585987,1.8867962264113212,-0.003520659082058123,-0.0073612524252285975,0.000299441755057627,0.8931423672152292,-0.8931423672152894,-0.008426195441160597,1.5063475871192507e-14,1.5031947370160526e-12
adiabatic_B_ramp_up,-3.5,0.0,1.0,1.0186319186901334,1.0,-0.03689656968432344,-0.07668530545729728,-0.0,0.0,0.0,-0.024161129991154107,-0.0,-0.0
adiabatic_B_ramp_up,-3.5,0.25,1.0,1.0186208165102195,1.0307764064044151,-0.03261038793833924,-0.06882345520123193,0.000443846234755531,0.4619652242266081,-0.4619652242266081,-0.024146996307193525,-0.0,-0.0
adiabatic_B_ramp_up,-3.5,1.6000000000000005,1.0,1.006854299835678,1.8867962264113212,-0.003546006474597973,-0.0074334661414098314,0.0003194222685331986,0.8927536569444197,-0.8927536569444197,-0.008992354335698746,-0.0,-3.1501063553517536e-15
adiabatic_B_ramp_up,-3.45,0.0,1.0,1.0199036037338085,1.0,-0.03670545601698878,-0.07649419178984954,-0.0,2.842170943040401e-14,2.842170943040401e-14,-0.025761472984844706,-1.4210854715202004e-14,1.4210854715197892e-12
adiabatic_B_ramp_up,-3.45,0.25,1.0,1.0198917437963935,1.0307764064044151,-0.03243610148066131,-0.06871207483793043,0.00047265556681868703,0.46138955115907304,-0.4613895511590179,-0.02574642191761332,-1.378655412260815e-14,1.3786554122604162e-12
adiabatic_B_ramp_up,-3.45,1.6000000000000005,1.0,1.0073221266188914,1.8867962264113212,-0.0035729762395320325,-0.0075103298466742295,0.00034068812471741344,0.8923390387597662,-0.8923390387597059,-0.009595485691314154,-1.5063475871192507e-14,1.503200406067833e-12
adiabatic_B_ramp_up,-3.4,0.0,1.0,1.021261153772288,1.0,-0.036502225583949256,-0.07629096135681,-0.0,-2.842170943040401e-14,-2.842170943040401e-14,-0.027463143777915346,1.4210854715202004e-14,1.4210854715197892e-12
adiabatic_B_ramp_up,-3.4,0.25,1.0,1.0212484849130963,1.0307764064044151,-0.03225076383283477,-0.06859346423523384,0.0005032077541083435,0.46077658949090067,-0.4607765894909558,-0.0274471198307017,1.378655412260815e-14,1.3786554122604162e-12
adiabatic_B_ramp_up,-3.4,1.6000000000000005,1.0,1.0078215413684095,1.8867962264113212,-0.0036016631714940305,-0.007592119194459809,0.0003633153231759889,0.8918968500792354,-0.8918968500792956,-0.010237854300078309,1.5063475871192507e-14,1.5032035243961094e-12
adiabatic_B_ramp_up,-3.35,0.0,1.0,1.0227102352215591,1.0,-0.036286184925645774,-0.07607492069850652,-0.0,2.842170943040401e-14,2.842170943040401e-14,-0.029271911916649834,-1.4210854715202004e-14,1.4210854715197892e-12
adiabatic_B_ramp_up,-3.35,0.25,1.0,1.0226967028998746,1.0307764064044151,-0.03205374234314619,-0.06846718589591506,0.0005355907799149966,0.46012409404152793,-0.46012409404147275,-0.02925485679136164,-1.378655412260815e-14,1.3786554122604162e-12
adiabatic_B_ramp_up,-3.35,1.6000000000000005,1.0,1.0083546286421792,1.8867962264113212,-0.003632166335914882,-0.007679122845548436,0.0003873834164333023,0.8914253305892401,-0.8914253305891798,-0.010921842612526801,-1.5063475871192507e-14,1.5032068478633426e-12
adiabatic_B_ramp_up,-3.3,0.0,1.0,1.0242568699685486,1.0,-0.03605661110409378,-0.0758453468771807,-0.0,0.0,0.0,-0.031193785520188276,-0.0,-1.4210854715202307e-12
adiabatic_B_ramp_up,-3.3,0.25,1.0,1.0242424160553998,1.0307764064044151,-0.03184437744109366,-0.06833278022652343,0.000569894630688305,0.4594297077768959,-0.4594297077768959,-0.031175638053603166,-0.0,-1.3786554122608443e-12
adiabatic_B_ramp_up,-3.3,1.6000000000000005,1.0,1.008923603768598,1.8867962264113212,-0.0036645890756990037,-0.007771642597006556,0.00041297553807998616,0.8909226177591499,-0.8909226177591499,-0.011649953795606639,-0.0,-1.5094847849795e-12
adiabatic_B_ramp_up,-3.25,0.0,1.0,1.0259074550613918,1.0,-0.03581275189497958,-0.07560148766795342,-0.0,0.0,0.0,-0.03323500797428736,-0.0,-0.0
adiabatic_B_ramp_up,-3.25,0.25,1.0,1.0258920176160062,1.0307764064044151,-0.03162198280829456,-0.06818976502901047,0.0006062109595807552,0.45869095949742406,-0.45869095949742406,-0.0332157040850545,-0.0,-0.0
adiabatic_B_ramp_up,-3.25,1.6000000000000005,1.0,1.009530820090159,1.8867962264113212,-0.003699038984567004,-0.007869993426196093,0.00044017840681597717,0.8903867423366414,-0.8903867423366414,-0.012424814372171727,-0.0,-3.1334250485185747e-15
adiabatic_B_ramp_up,-3.2,0.0,1.0,1.027668783113305,1.0,-0.035553826233061275,-0.07534256200592203,-0.0,2.842170943040401e-14,2.842170943040401e-14,-0.0354020521734779,-1.4210854715202004e-14,1.4210854715197892e-12
adiabatic_B_ramp_up,-3.2,0.25,1.0,1.0276522961474033,1.0307764064044151,-0.03138584578000788,-0.06803763508332387,0.0006446326822989351,0.45790526198908604,-0.45790526198903087,-0.03538152482187992,-1.378655412260815e-14,1.3786554122604162e-12
adiabatic_B_ramp_up,-3.2,1.6000000000000005,1.0,1.0101787764696164,1.8867962264113212,-0.0037356278413672923,-0.007974503439591371,0.0004690823020171243,0.8898156238541614,-0.8898156238541011,-0.013249176341165854,-1.5063475871192507e-14,1.5032181805106844e-12
adiabatic_B_ramp_up,-3.15,0.0,1.0,1.029548063386546,1.0,-0.03527902494802106,-0.07506776072088181,-0.0,-2.842170943040401e-14,-2.842170943040401e-14,-0.03770161194040173,1.4210854715202004e-14,1.4210854715197892e-12
adiabatic_B_ramp_up,-3.15,0.25,1.0,1.0295304566160743,1.0307764064044151,-0.031135228011126358,-0.06787586182711476,0.0006852534946637709,0.4570699107316324,-0.4570699107316875,-0.03767979110362259,1.378655412260815e-14,1.3786554122604162e-12
adiabatic_B_ramp_up,-3.15,1.6000000000000005,1.0,1.010870125046341,1.8867962264113212,-0.0037744714991071117,-0.008085513703549884,0.0004997810059684364,0.8892070661869421,-0.8892070661870024,-0.014125918665824116,1.5063475871192507e-14,1.5032224595390637e-12
adiabatic_B_ramp_up,-3.1,0.0,1.0,1.0315529435107638,1.0,-0.03498751183074566,-0.0747762476036064,-0.0,2.842170943040401e-14,2.842170943040401e-14,-0.040140590218358765,-1.4210854715202004e-14,1.4210854715197892e-12
adiabatic_B_ramp_up,-3.1,0.25,1.0,1.0315341420946833,1.0307764064044151,-0.030869366443092867,-0.0677038931558915,0.0007281673039522568,0.45618208326629467,-0.45618208326623955,-0.04011740288383955,-1.378655412260815e-14,1.3786554122604162e-12
adiabatic_B_ramp_up,-3.1,1.6000000000000005,1.0,1.0116076792260538,1.8867962264113212,-0.0038156897217765393,-0.008203377942463673,0.000532371707354777,0.8885587532078066,-0.8885587532077465,-0.015058048002043451,-1.5063475871192507e-14,1.503227014883386e-12
adiabatic_B_ramp_up,-3.05,0.0,1.0,1.0336915317759616,1.0,-0.0346784250726933,-0.07446716084578023,-0.0,0.0,0.0,-0.04272608359703294,-0.0,-1.4210854715202307e-12
adiabatic_B_ramp_up,-3.05,0.25,1.0,1.0336714560417566,1.0307764064044151,-0.030587474610637367,-0.0675211533703256,0.0007734675687894625,0.4552388393339024,-0.4552388393339024,-0.04270145377673575,-0.0,-1.3786554122608443e-12
adiabatic_B_ramp_up,-3.05,1.6000000000000005,1.0,1.0123944218819507,1.8867962264113212,-0.003859405961451477,-0.00832846208301966,0.0005669548600118315,0.8878682445894855,-0.8878682445894855,-0.016048698522414008,-0.0,-1.5094633111783524e-12
adiabatic_B_ramp_up,-3.0,0.0,1.0,1.035972419924183,1.0,-0.03435087912342367,-0.0741396148963975,-0.0,0.0,0.0,-0.045465362701972434,-0.0,-0.0
adiabatic_B_ramp_up,-3.0,0.25,1.0,1.0359509850797861,1.0307764064044151,-0.03028874432944966,-0.06732704328251288,0.0008212465346557056,0.4542371219086127,-0.4542371219086127,-0.04543921147121941,-0.0,-0.0
adiabatic_B_ramp_up,-3.0,1.6000000000000005,1.0,1.013233513739293,1.8867962264113212,-0.003905747067497485,-0.008461143619757267,0.0006036339904768915,0.8871329718173895,-0.8871329718173895,-0.017101130677664854,-0.0,-3.110565729571323e-15
adiabatic_B_ramp_up,-2.95,0.0,1.0,1.0384047063456183,1.0,-0.034003967013425083,-0.07379270278651201,-0.0,0.0,0.0,-0.04836584794381343,-0.0,-1.4210854715202307e-12
adiabatic_B_ramp_up,-2.95,0.25,1.0,1.0383818221775152,1.0307764064044151,-0.0299723478077892,-0.06712094052096933,0.000871594361746154,0.4531737592576895,-0.4531737592576895,-0.048338093507571775,-0.0,-1.3786554122608443e-12
adiabatic_B_ramp_up,-2.95,1.6000000000000005,1.0,1.0141283019087795,1.8867962264113212,-0.003954842919066374,-0.008601810782311278,0.0006425154471585948,0.8863502344788795,-0.8863502344788795,-0.018218728715500787,-0.0,-1.5094526662264472e-12
adiabatic_B_ramp_up,-2.9,0.0,1.0,1.0409980195639634,1.0,-0.03363676319089331,-0.07342549896386714,-0.0,-2.842170943040401e-14,-2.842170943040401e-14,-0.051435080096727724,1.4210854715202004e-14,-5.044670825579744e-25
adiabatic_B_ramp_up,-2.9,0.25,1.0,1.040973590121302,1.0307764064044151,-0.02963744022642872,-0.06690220004850335,0.0009245981341840922,0.4520454681719365,-0.45204546817199165,-0.05140563788782477,1.378655412260815e-14,-4.894049567138148e-25
adiabatic_B_ramp_up,-2.9,1.6000000000000005,1.0,1.0150823285263266,1.8867962264113212,-0.004006825971497827,-0.008750861470520456,0.0006837080835102369,0.8855171969089909,-0.8855171969090512,-0.019404996762147787,1.5063475871192507e-14,-3.0992452241601228e-15
adiabatic_B_ramp_up,-2.8499999999999996,0.0,1.0,1.043762541872261,1.0,-0.03324832692196526,-0.07303706269482602,-0.0,-2.842170943040401e-14,-2.842170943040401e-14,-0.0546806851514879,1.4210854715202004e-14,1.4210854715197892e-12
