tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.01,0.9424777960769379,0.30915913127062095,inf
0.01,0.9613273519984764,0.27649066338413536,inf
0.01,0.9801769079200158,0.24409593666974125,inf
0.01,0.9990264638415542,0.21267153742141118,inf
0.01,1.0178760197630927,0.18272125302056655,inf
0.01,1.036725575684632,0.15459903225798455,inf
0.01,1.0555751316061706,0.128544846923668,inf
0.01,1.074424687527709,0.1047137523035464,inf
0.01,1.0932742434492484,0.08319893644261116,inf
0.01,1.1121237993707869,0.06404970672438419,inf
0.01,1.1309733552923253,0.04728534486373571,inf
0.01,1.1498229112138638,0.03290566170687772,inf
0.01,1.1686724671354032,0.020898954115773513,inf
0.01,1.1875220230569417,0.011247935301908023,inf
0.01,1.2063715789784801,0.003934090080351918,inf
0.01,1.2252211349000195,-0.0010591978398975304,29946.57935412484
0.01,1.244070690821558,-0.0037444881046624994,15927.203824279699
0.01,1.2629202467430964,-0.004128912142390577,15167.637637910831
0.01,1.2817698026646358,-0.0022134688319892966,20715.673619897098
0.01,1.3006193585861743,0.002007074432724898,inf
0.01,1.3194689145077128,0.008543683967120597,inf
0.01,1.3383184704292521,0.017411921393836176,inf
0.01,1.3571680263507906,0.028630065283937422,inf
0.01,1.376017582272329,0.04221633188857419,inf
0.01,1.3948671381938684,0.05818496282099855,inf
0.01,1.413716694115407,0.07654086365195782,inf
0.01,1.4325662500369454,0.09727237832208624,inf
0.01,1.4514158059584847,0.12034166926708052,inf
0.01,1.4702653618800232,0.14567204491351038,inf
0.01,1.4891149178015617,0.17313144421271973,inf
0.01,1.507964473723101,0.20251117388891818,inf
0.01,1.5268140296446395,0.2334989410658464,inf
0.01,1.545663585566178,0.2656453099835528,inf
0.01,1.5645131414877174,0.2983230699866635,inf
0.01,1.5833626974092558,0.3306798482046398,inf
0.01,1.6022122533307943,0.36158596112665714,inf
0.01,1.6210618092523328,0.38958243145724686,inf
0.01,1.6399113651738721,0.4128388610663348,inf
0.01,1.6587609210954106,0.4291379708008406,inf
0.01,1.677610477016949,0.4359131979479056,inf
0.01,1.6964600329384885,0.4303766748148781,inf
0.01,1.715309588860027,0.40978353942389206,inf
0.01,1.7341591447815654,0.3718769482629483,inf
0.01,1.7530087007031048,0.3155332698350937,inf
0.01,1.7718582566246432,0.24156298262085796,inf
0.01,1.7907078125461817,0.15351169762196265,inf
0.01,1.809557368467721,0.058167509922050026,inf
0.01,1.8284069243892596,-0.034614172451934884,5238.522203124366
0.01,1.847256480310798,-0.11309320791228866,2898.1276073279932
0.01,1.8661060362323374,-0.1658435634789375,2393.241114002624
0.01,1.8849555921538759,-0.1844635222073911,2269.2404532519786
0.01,1.9038051480754143,-0.16585347691522706,2393.169588224904
0.01,1.9226547039969537,-0.1131098656438527,2897.914195310431
0.01,1.9415042599184922,-0.03463208146886336,5237.167550001339
0.01,1.9603538158400307,0.05815480045271182,inf
0.01,1.97920337176157,0.15351018114086906,inf
