B0,wB,aR,wR,l,B,R,rho,nec,Gkk,flare
1.0,0.75,1.0,0.75,-5.3999999999999995,1.0,5.491812087098392,-0.00043670847930745577,-0.00048045050165659213,-0.012075038131343044,0.006037519065671523
1.0,0.75,1.0,0.75,-5.25,1.0,5.344389581607987,-0.0004725448428085487,-0.0005213166864433614,-0.013102117378593904,0.006551058689296951
1.0,0.75,1.0,0.75,-5.1,1.0,5.197114584074513,-0.0005123641616958996,-0.0005669038335119666,-0.014247847349224683,0.0071239236746123424
1.0,0.75,1.0,0.75,-4.95,1.0,5.05,-0.0005567279564273247,-0.0006179060957269263,-0.015529674007552504,0.007764837003776252
1.0,0.75,1.0,0.75,-4.8,1.0,4.903060268852505,-0.0006062940013241631,-0.0006751422575570795,-0.01696817565175479,0.008484087825877396
1.0,0.75,1.0,0.75,-4.6499999999999995,1.0,4.756311596184589,-0.0006618357886455638,-0.0007395822769032454,-0.018587729982755583,0.009293864991377791
1.0,0.75,1.0,0.75,-4.5,1.0,4.6097722286464435,-0.0007242665262489036,-0.0008123803846926314,-0.020417345987766566,0.010208672993883283
1.0,0.75,1.0,0.75,-4.35,1.0,4.4634627812943615,-0.0007946688542159881,-0.0008949165824946604,-0.022491706889127272,0.011245853444563636
1.0,0.75,1.0,0.75,-4.2,1.0,4.317406628984581,-0.0008743318274953851,-0.0009888489769790494,-0.02485248545269731,0.012426242726348654
1.0,0.75,1.0,0.75,-4.05,1.0,4.17163037672323,-0.0009647971508707777,-0.0010961801609475825,-0.02755001232515042,0.01377500616257521
1.0,0.75,1.0,0.75,-3.9000000000000004,1.0,4.026164427839479,-0.0010679172525045768,-0.001219341918544742,-0.030645404908113967,0.01532270245405698
1.0,0.75,1.0,0.75,-3.75,1.0,3.881043674065006,-0.001185928589843025,-0.0013613040050906794,-0.034213301293561926,0.017106650646780963
1.0,0.75,1.0,0.75,-3.5999999999999996,1.0,3.7363083384538807,-0.0013215446036803319,-0.0015257147273724549,-0.03834539343189647,0.019172696715948234
1.0,0.75,1.0,0.75,-3.4499999999999993,1.0,3.592005011132361,-0.0014780741218520872,-0.0017170838125870167,-0.0431550231297706,0.0215775115648853
1.0,0.75,1.0,0.75,-3.299999999999999,1.0,3.4481879299133325,-0.001659572826433023,-0.0019410218695664777,-0.04878320036709737,0.02439160018354869
1.0,0.75,1.0,0.75,-3.1500000000000004,1.0,3.3049205739321486,-0.0018710377443960393,-0.0022045560269059643,-0.05540653614843904,0.027703268074219523
1.0,0.75,1.0,0.75,-3.0,1.0,3.1622776601683795,-0.002118657745429262,-0.0025165486841738295,-0.0632477668688125,0.03162388343440625
1.0,0.75,1.0,0.75,-2.8499999999999996,1.0,3.020347662107791,-0.002410136818462775,-0.0028882565148938264,-0.07258980359098643,0.03629490179549322
1.0,0.75,1.0,0.75,-2.6999999999999993,1.0,2.879236009777593,-0.0027551114167096973,-0.0033340809170906106,-0.08379459292484626,0.04189729646242313
1.0,0.75,1.0,0.75,-2.549999999999999,1.0,2.7390691849604667,-0.0031656881217963263,-0.0038725802561188592,-0.0973285574644791,0.04866427873223955
