A_open_ring_comp,A_support_setup_reset,A_shoulder_setup_reset,support_full_residual_ratio,support_ring_full_residual_ratio,shoulder_full_residual_ratio,access_full_residual_ratio,core_full_residual_ratio,support_ring_setup_reset_ratio,shoulder_setup_reset_ratio,support_setup_reset_ratio,support_ring_open_residual_neg_fraction,shoulder_open_neg_fraction_carried_by_nmc,score
0.004,0.022,0.012,2.334001919053685,1.1104667383986617,1.2891331049512138,2.7666753247943845,2.7930746541029072,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.4407379582990845
0.001,0.022,0.013,2.30761446478159,1.0968799004472773,1.4467142581646408,2.7548331036890583,2.7930730381473627,1.1500558956221922,1.463413587100463,2.2399745198670526,1.5535096513620636,0.42206662750438684,1.44251321807648
0.005,0.022,0.011,2.342726500077281,1.1146812582660812,1.1367562383777245,2.770622728924832,2.7930751927484865,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.4443901685504847
0.003,0.022,0.01,2.3249574053962685,1.1048381016547624,0.9898073899419667,2.76272790760951,2.7930741154291154,1.1485875690551386,1.0068504458232423,2.2396530220726114,1.5535096513620636,0.42206662750438684,1.4446183869972737
0.0045,0.022,0.012,2.338417574255384,1.1128098780214126,1.28913312200196,2.768649029036449,2.7930749234303995,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.4522368864725903
0.0015,0.022,0.013,2.3120301517303385,1.0992228326319293,1.4467142755631908,2.7568068079319508,2.7930733074748546,1.1500558956221922,1.463413587100463,2.2399745198670526,1.5535096513620636,0.42206662750438684,1.4534825104760705
0.0035,0.022,0.01,2.329372997105237,1.1071808647402728,0.9898074062809964,2.7647016118499206,2.793074384756607,1.1485875690551386,1.0068504458232423,2.2396530220726114,1.5535096513620636,0.42206662750438684,1.4559309774519278
0.0055,0.022,0.011,2.3471421235323855,1.1170243791940797,1.136756255075386,2.7725964331660697,2.7930754620759783,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.4560628568004135
0.0005,0.02,0.015,2.0342632749370457,0.9643000463126863,1.7764465144585286,2.620153473959247,2.793030457923779,1.0146721578208093,1.7927239793544432,1.969370131136702,1.5535096513620636,0.42206662750438684,1.4637385863343684
0.005,0.022,0.012,2.342833229457083,1.1151530741798852,1.2891331390527052,2.7706227332785143,2.793075192757891,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.4638247833559255
0.002,0.022,0.013,2.3164458386790874,1.101565821346248,1.4467142929617416,2.7587805121748428,2.793073576802346,1.1500558956221922,1.463413587100463,2.2399745198670526,1.5535096513620636,0.42206662750438684,1.4645407692270855
0.004,0.022,0.01,2.3337885888142047,1.1095236843449747,0.9898074226200257,2.76667531609033,2.7930746540840987,1.1485875690551386,1.0068504458232423,2.2396530220726114,1.5535096513620636,0.42206662750438684,1.4673325302096196
0.006,0.022,0.011,2.3515577469874906,1.1193675566556711,1.136756271773047,2.7745701374073066,2.79307573140347,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.467824512940172
0.0055,0.022,0.012,2.3472488846587813,1.1174963268761264,1.2891331561034514,2.772596437520579,2.7930754620853824,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.475501649743802
0.0025,0.022,0.013,2.320861525627836,1.1039088665922794,1.4467143103602913,2.760754216417735,2.793073846129838,1.1500558956221922,1.463413587100463,2.2399745198670526,1.5535096513620636,0.42206662750438684,1.475687995124024
0.0045,0.022,0.01,2.3382041805231726,1.1118665604709124,0.9898074389590554,2.76864902033074,2.7930749234115906,1.1485875690551386,1.0068504458232423,2.2396530220726114,1.5535096513620636,0.42206662750438684,1.4788230460646774
0.003,0.022,0.013,2.325277212576585,1.106251968372069,1.4467143277588417,2.7627279206606272,2.7930741154573298,1.1500558956221922,1.463413587100463,2.2399745198670526,1.5535096513620636,0.42206662750438684,1.4869241889614462
0.006,0.022,0.012,2.3516645398604803,1.1198396361121818,1.2891331731541973,2.774570141762644,2.7930757314128747,1.1495663990084504,1.3059855472658342,2.2398673523774817,1.5535096513620636,0.42206662750438684,1.4872674864309927
