core_amp,repay_amp,buffer_amp,omega,access_qi_log10_L0max,access_qi_min_sampled_avg,access_positive_sample_fraction,repay_positive_sample_fraction,repay_qi_log10_L0max,access_max_abs_tidal,access_max_abs_rate,access_max_abs_flux,access_min_rho,access_max_rho,access_min_Gkk,repay_min_Gkk,access_quiet_open_fraction,access_open_fraction,failure_mode
0.01,0.06,0.020999999999999998,4.0,-0.31075637343378604,-0.055271428635992936,0.0,0.27650273224043714,-0.3120995213757438,0.1616017326387758,0.04000029010355212,0.0091245937841312,-0.056494705358374545,-0.015866648029741113,-2.691981322945755,-7.675060163617962,1.0,1.0,static-QI-preserved
0.01,0.06,0.020999999999999998,8.0,-0.31011768915174864,-0.053833994340134535,0.0,0.19271402550091074,-0.17283786880752125,0.6462414645028259,0.07999029080122863,0.018246851722064045,-0.056494704273035094,-0.01586664713666815,-3.588104701108717,-12.76817609430954,1.0,1.0,static-QI-preserved
0.01,0.06,0.020999999999999998,16.0,-0.3079951951237095,-0.05097839770816334,0.0,0.22695810564663024,-0.16195098681103134,2.5822690604466856,0.15989867853407513,0.036475020262380226,-0.05649427470065784,-0.015866998731142442,-7.253428095339007,-29.751762587982018,0.0,1.0,quiet-window-lost
0.01,0.06,0.020999999999999998,32.0,-0.29932235608210844,-0.04627611846580717,0.0,0.7715846994535519,0.03996131305832232,10.287060664538853,0.3191426356049279,0.07280044802557636,-0.056494765252410616,-0.015866583387793596,-22.599894767267106,-101.26369866520385,0.0,1.0,quiet-window-lost
0.01,0.06,0.020999999999999998,64.0,-0.2619736599149599,-0.03677822161402603,0.0,1.0,inf,40.476636207079906,0.6330461208010643,0.14440855180288217,-0.05649357135602659,-0.01583284038946209,-82.97851377267504,-388.4917707167098,0.0,1.0,quiet-window-lost
0.01,0.12,0.041999999999999996,4.0,-0.31075637343378604,-0.055271428635992936,0.0,0.35774134790528234,-0.4299890294778662,0.1616017326387758,0.04000029010355212,0.0091245937841312,-0.056494705358374545,-0.015866648029741113,-2.691981322945755,-14.966983053229873,1.0,1.0,static-QI-preserved
0.01,0.12,0.041999999999999996,8.0,-0.31011768915174864,-0.053833994340134535,0.0,0.28123861566484515,-0.24464253437729994,0.6462414645028259,0.07999029080122863,0.018246851722064045,-0.056494704273035094,-0.01586664713666815,-3.588104701108717,-25.434159983810314,1.0,1.0,static-QI-preserved
0.01,0.12,0.041999999999999996,16.0,-0.3079951951237095,-0.05097839770816334,0.0,0.6342440801457195,-0.1134713695100151,2.5822690604466856,0.15989867853407513,0.036475020262380226,-0.05649427470065784,-0.015866998731142442,-7.253428095339007,-61.10496691226999,0.0,1.0,quiet-window-lost
0.01,0.12,0.041999999999999996,32.0,-0.29932235608210844,-0.04627611846580717,0.0,0.9737704918032787,2.8236164816250167,10.287060664538853,0.3191426356049279,0.07280044802557636,-0.056494765252410616,-0.015866583387793596,-22.599894767267106,-211.78361275173538,0.0,1.0,quiet-window-lost
0.01,0.12,0.041999999999999996,64.0,-0.2619736599149599,-0.03677822161402603,0.0,1.0,inf,40.476636207079906,0.6330461208010643,0.14440855180288217,-0.05649357135602659,-0.01583284038946209,-82.97851377267504,-815.451769490388,0.0,1.0,quiet-window-lost
0.01,0.2,0.06999999999999999,4.0,-0.31075637343378604,-0.055271428635992936,0.0,0.40145719489981785,-0.5459963074300149,0.1616017326387758,0.04000029010355212,0.0091245937841312,-0.056494705358374545,-0.015866648029741113,-2.691981322945755,-25.787261902295835,1.0,1.0,static-QI-preserved
