series,observer_family,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,status
nmc_component_Tkk_min,access_mean,0.5,-0.0009099751061564406,215.28,-0.15198177546350666,0.1510718003573502,above_proxy_bound
nmc_component_Tkk_min,access_mean,1.0,-0.0007544582946438358,215.28,-0.009498860966469166,0.00874440267182533,above_proxy_bound
nmc_component_Tkk_min,access_mean,2.0,-0.0006006748544281282,215.28,-0.0005936788104043229,-6.996044023805325e-06,below_proxy_bound
nmc_component_Tkk_min,access_mean,5.0,-0.00047853717208837124,184.86,-1.5198177546350666e-05,-0.00046333899454202056,below_proxy_bound
nmc_component_Tkk_min,access_mean,10.0,-0.0004418165024433877,184.86,-9.498860966469166e-07,-0.0004408666163467408,below_proxy_bound
nmc_component_Tkk_min,access_mean,20.0,-0.0003741982816506835,184.86,-5.936788104043229e-08,-0.0003741389137696431,below_proxy_bound
nmc_component_Tkk_min,access_mean,40.0,-0.00027588654185970466,184.86,-3.710492565027018e-09,-0.00027588283136713965,below_proxy_bound
nmc_component_Tkk_min,access_mean,80.0,,,-2.3190578531418863e-10,,
nmc_component_Tkk_min,support_mean,0.5,-0.007029272561543747,217.62,-0.15198177546350666,0.1449525029019629,above_proxy_bound
nmc_component_Tkk_min,support_mean,1.0,-0.005853220019536914,217.62,-0.009498860966469166,0.0036456409469322526,above_proxy_bound
nmc_component_Tkk_min,support_mean,2.0,-0.004205563512661799,217.62,-0.0005936788104043229,-0.0036118847022574762,below_proxy_bound
nmc_component_Tkk_min,support_mean,5.0,-0.0021844189169496174,217.62,-1.5198177546350666e-05,-0.002169220739403267,below_proxy_bound
nmc_component_Tkk_min,support_mean,10.0,-0.0012685116077198852,216.84,-9.498860966469166e-07,-0.0012675617216232383,below_proxy_bound
nmc_component_Tkk_min,support_mean,20.0,-0.0007823155052294451,214.5,-5.936788104043229e-08,-0.0007822561373484046,below_proxy_bound
nmc_component_Tkk_min,support_mean,40.0,-0.0005588376879794239,169.26000000000002,-3.710492565027018e-09,-0.0005588339774868589,below_proxy_bound
nmc_component_Tkk_min,support_mean,80.0,,,-2.3190578531418863e-10,,
nmc_component_Tkk_min,support_ring_mean,0.5,-0.012539058045526477,151.32,-0.15198177546350666,0.1394427174179802,above_proxy_bound
nmc_component_Tkk_min,support_ring_mean,1.0,-0.00969282033006442,151.32,-0.009498860966469166,-0.00019395936359525336,below_proxy_bound
nmc_component_Tkk_min,support_ring_mean,2.0,-0.006491550802542739,218.4,-0.0005936788104043229,-0.005897871992138416,below_proxy_bound
nmc_component_Tkk_min,support_ring_mean,5.0,-0.003044774697597624,218.4,-1.5198177546350666e-05,-0.0030295765200512733,below_proxy_bound
nmc_component_Tkk_min,support_ring_mean,10.0,-0.0014713747584670794,151.32,-9.498860966469166e-07,-0.0014704248723704325,below_proxy_bound
nmc_component_Tkk_min,support_ring_mean,20.0,-0.0006630011498020884,148.98000000000002,-5.936788104043229e-08,-0.0006629417819210479,below_proxy_bound
nmc_component_Tkk_min,support_ring_mean,40.0,-0.00031967017754354983,224.64000000000001,-3.710492565027018e-09,-0.0003196664670509848,below_proxy_bound
nmc_component_Tkk_min,support_ring_mean,80.0,,,-2.3190578531418863e-10,,
nmc_component_Tkk_min,shoulder_mean,0.5,-0.1682508008908647,216.06,-0.15198177546350666,-0.01626902542735803,below_proxy_bound
nmc_component_Tkk_min,shoulder_mean,1.0,-0.12966775512279,154.44,-0.009498860966469166,-0.12016889415632083,below_proxy_bound
nmc_component_Tkk_min,shoulder_mean,2.0,-0.085466402424108,154.44,-0.0005936788104043229,-0.08487272361370367,below_proxy_bound
nmc_component_Tkk_min,shoulder_mean,5.0,-0.042301345860914684,216.06,-1.5198177546350666e-05,-0.04228614768336833,below_proxy_bound
nmc_component_Tkk_min,shoulder_mean,10.0,-0.023056379233259948,216.06,-9.498860966469166e-07,-0.0230554293471633,below_proxy_bound
nmc_component_Tkk_min,shoulder_mean,20.0,-0.012925936267971089,215.28,-5.936788104043229e-08,-0.012925876900090049,below_proxy_bound
nmc_component_Tkk_min,shoulder_mean,40.0,-0.008364191090985573,160.68,-3.710492565027018e-09,-0.008364187380493009,below_proxy_bound
nmc_component_Tkk_min,shoulder_mean,80.0,,,-2.3190578531418863e-10,,
nmc_component_Tkk_min,matching_mean,0.5,-0.04079782087122037,215.28,-0.15198177546350666,0.11118395459228629,above_proxy_bound
nmc_component_Tkk_min,matching_mean,1.0,-0.03196851323109472,154.44,-0.009498860966469166,-0.02246965226462555,below_proxy_bound
nmc_component_Tkk_min,matching_mean,2.0,-0.02122326624611949,154.44,-0.0005936788104043229,-0.020629587435715167,below_proxy_bound
nmc_component_Tkk_min,matching_mean,5.0,-0.010512665959537745,216.06,-1.5198177546350666e-05,-0.010497467781991395,below_proxy_bound
nmc_component_Tkk_min,matching_mean,10.0,-0.005729672341551661,216.06,-9.498860966469166e-07,-0.005728722455455014,below_proxy_bound
nmc_component_Tkk_min,matching_mean,20.0,-0.003211084955040027,215.28,-5.936788104043229e-08,-0.0032110255871589865,below_proxy_bound
nmc_component_Tkk_min,matching_mean,40.0,-0.002079397748468773,160.68,-3.710492565027018e-09,-0.0020793940379762077,below_proxy_bound
nmc_component_Tkk_min,matching_mean,80.0,,,-2.3190578531418863e-10,,
infrastructure_component_Tkk_min,core_line,0.5,-0.0010103588704582214,175.5,-0.15198177546350666,0.15097141659304844,above_proxy_bound
infrastructure_component_Tkk_min,core_line,1.0,-0.0009963905062286302,176.28,-0.009498860966469166,0.008502470460240536,above_proxy_bound
infrastructure_component_Tkk_min,core_line,2.0,-0.0009684492637061363,176.28,-0.0005936788104043229,-0.00037477045330181337,below_proxy_bound
infrastructure_component_Tkk_min,core_line,5.0,-0.0008847164016446713,176.28,-1.5198177546350666e-05,-0.0008695182240983206,below_proxy_bound
infrastructure_component_Tkk_min,core_line,10.0,-0.0007496786183617862,175.5,-9.498860966469166e-07,-0.0007487287322651393,below_proxy_bound
